小学校,中学校,区名,町名,区域,備考
福重小,内浜中,西区,福重団地,全域,
福重小,内浜中,西区,福重,1丁目～5丁目,
福重小,内浜中,西区,姪浜駅南,2丁目30番10号～16号、31番、32番,
福浜小,当仁中,中央区,福浜,1丁目、2丁目,
別府小,城南中,城南区,田島,2丁目16番、21番～25番,
別府小,城南中,城南区,茶山,1丁目1番～5番,
別府小,城南中,城南区,別府,1丁目～7丁目(ただし、6丁目14番～26番を除く･･･城南小）,
別府小,城南中,城南区,別府団地,全域,
別府小,城南中,城南区,城西団地,全域,
馬出小,福岡中,東区,馬出,1丁目～6丁目,
馬出小,福岡中,東区,東浜,1丁目、2丁目,
舞鶴小,舞鶴中,中央区,港,1丁目～3丁目,
舞鶴小,舞鶴中,中央区,大手門,2丁目～3丁目,
舞鶴小,舞鶴中,中央区,荒戸,1丁目,
舞鶴小,舞鶴中,中央区,荒津,1丁目～2丁目,
舞鶴小,舞鶴中,中央区,西公園,1番～2番,
舞鶴小,舞鶴中,中央区,大名,1丁目～2丁目,
舞鶴小,舞鶴中,中央区,天神,1丁目～5丁目,
舞鶴小,舞鶴中,中央区,那の津,1丁目～5丁目,
舞鶴小,舞鶴中,中央区,長浜,1丁目～3丁目,
舞鶴小,舞鶴中,中央区,舞鶴,1丁目～3丁目,
舞松原小,多々良中,東区,舞松原,2丁目15番～34番、3丁目～6丁目,
舞松原小,多々良中,東区,水谷,1丁目3番、5番～15番、19番～30番、2丁目、3丁目(ただし、28番(49号～51号)を除く…香椎東小),
松島小,箱崎中,東区,筥松,3丁目19番50号(ニュー筥松住宅)、4丁目,
松島小,箱崎清松中,東区,松島,1丁目～6丁目(ただし、3丁目31番～34番、5丁目21番～29番を除く…多々良小),
松島小,箱崎清松中,東区,筥松,3丁目1番(12号～24号)、2番(14号～26号)、3番(3号、5号～68号)、4番～18番、19番(ただし、50号を除く・・・箱崎中)、20番～22番,
松島小,箱崎清松中,東区,原田,3丁目、4丁目,
松島小,箱崎清松中,東区,松田,1丁目～3丁目,
三苫小,和白中,東区,三苫,"1丁目～8丁目(ただし、2丁目35番の一部(南側世帯のみ)を除く…奈多小) ※一部の詳細は、学校計画第1課・第2課へ照会のこと",
三苫小,和白中,東区,大字三苫,全域,
南片江小,片江中,城南区,東油山,2丁目、3丁目,
南片江小,片江中,城南区,堤,2丁目13番～31番,
南片江小,片江中,城南区,南片江,1丁目～6丁目,
南当仁小,当仁中,中央区,鳥飼,1丁目1番～4番、2丁目、3丁目,
南当仁小,当仁中,中央区,大濠,1丁目、2丁目1番～11番、12番(1号～10号、39号～44号)、13番(1号～15号、43号～49号),
南当仁小,当仁中,中央区,今川,1丁目、2丁目,
南当仁小,当仁中,中央区,地行,1丁目～4丁目,
南当仁小,当仁中,中央区,地行浜,1丁目、2丁目,
三宅小,三宅中,南区,大橋,1丁目9番、10番、11番(3号～11号)、25番(6号～11号)、27番(1号～18号、21号～25号)、2丁目9番～29番、3丁目、4丁目1番～13番、14番(7号～12号)、16番,
三宅小,三宅中,南区,若久,6丁目59番(1号～10号、17号～24号)、61番(15号～19号)、62番(8号～27号)、66番～71番(1号～20号、28号～36号)、72番～76番,
三宅小,三宅中,南区,塩原,4丁目30番,
三宅小,三宅中,南区,和田,3丁目、4丁目,
三宅小,三宅中,南区,三宅,1丁目1番～7番、8番(1号～12号、38号、39号)、9番～21番、22番(1号～19号、27号、28号)、23番～28番、2丁目、3丁目,
宮竹小,那珂中,博多区,諸岡,3丁目,宮竹小校区は南区にもあり
宮竹小,宮竹中,南区,井尻,1丁目～3丁目,宮竹小校区は博多区にもあり
宮竹小,宮竹中,南区,五十川,1丁目、2丁目,
美和台小,和白丘中,東区,美和台,"1丁目～2丁目、3丁目(36番の一部)、4丁目～7丁目 ※一部の詳細は、学校計画第1課・第2課へ照会のこと",
美和台小,和白丘中,東区,美和台新町,全域,
美和台小,和白丘中,東区,和白東,5丁目22番、23番,
美和台小,和白丘中,東区,和白丘,1丁目～4丁目,
美和台小,和白丘中,東区,和白,5丁目17番,
席田小,席田中,博多区,空港前,1丁目～5丁目,
席田小,席田中,博多区,東平尾公園,1丁目、2丁目,
席田小,席田中,博多区,青木,1丁目、2丁目,
席田小,席田中,博多区,東平尾,1丁目～3丁目,
席田小,席田中,博多区,大井,1丁目、2丁目,
席田小,席田中,博多区,大字下臼井,全域,
室見小,高取中,早良区,藤崎,1丁目、2丁目,
室見小,高取中,早良区,弥生,1丁目、2丁目,
室見小,高取中,早良区,室見,2丁目～5丁目,
姪浜小,内浜中,西区,愛宕南,1丁目、2丁目,
姪浜小,内浜中,西区,姪浜駅南,1丁目、2丁目(ただし、30番10号～16号、31番、32番を除く…福重小)、3丁目、4丁目,
姪浜小,姪浜中,西区,姪の浜,"1丁目、2丁目1番～8番、9番(1号～23号)、10～13番、14番(1号～13号、55号～60号)、15番、16番、17番(1号～24号,27号)、18番、27番～30番",
姪北小,姪浜中,西区,小戸,1丁目、2丁目,
姪北小,姪浜中,西区,姪の浜,2丁目9番(24号)、14番(14号～54号)、17番(25号)、19番～21番、23番～26番、3丁目（ただし、32番(11号、16号)、38番～48番を除く…愛宕浜小）、4丁目、6丁目,
